IGBPs,water,ENF,EBF,DNF,DBF,MF,CSH,OSH,WSA,SAV,GRA,WET,CRO,URB,CNV,SNO,BSV,UNF
Alpha,0,0.0366,0.0439,0.0366,0.0336,0.0288,0.0366,0.0366,0.0327,0.0361,0.0288,0.0244,0.0366,0.0288,0.0366,0,0.0288,0
Thelta,0,0.0244,0.0351,0.0244,0.0166,0.0283,0.0283,0.0283,0.0254,0.0244,0.0395,0.0693,0.0693,0.0283,0.0693,0,0.0395,0
m,0,8.6797,10.4297,8.6797,11.1406,8.8789,7.4023,7.4023,9.3398,8.6016,6.9824,21.165,8.125,8.8789,8.125,0,6.9824,0
Am,0,23.8672,19.3594,23.8672,6.3125,13.3828,17.2227,17.2227,16.8359,16.5938,17.7178,24.231,17.2197,13.3828,17.2197,0,17.7178,0
D0,0.7,0.5281,0.5477,0.5281,0.575,0.5047,0.5242,0.5242,0.5008,0.8484,0.5008,1.9998,0.7986,0.5047,0.7986,0.7,0.5008,0.7
kQ,0.6,0.8238,0.9996,0.8238,0.3551,0.5894,0.9996,0.9996,0.648,0.9996,0.6402,0.9996,0.3697,0.5894,0.3697,0.6,0.6402,0.6
kA,0.7,0.8953,0.8992,0.8953,0.8875,0.7586,0.8992,0.8992,0.8992,0.8953,0.8992,0.8992,0.8992,0.7586,0.8992,0.7,0.8992,0.7
S_sls,0,0.0688,0.0961,0.0688,0.0492,0.1156,0.0141,0.0141,0.1254,0.0336,0.0961,0.0102,0.0102,0.1156,0.0102,0,0.0961,0
fER0,0,0.0688,0.0834,0.0688,0.0102,0.0141,0.0102,0.0102,0.0756,0.057,0.015,0.0102,0.1508,0.0141,0.1508,0,0.015,0
VPDmin,1,0.6644,0.6566,0.6644,0.68,0.6566,1.4964,1.4964,0.6566,1.1175,0.6507,1.3968,1.3079,0.6566,1.3079,1,0.6507,1
VPDmax,4,6.5,4.043,6.5,6.0313,3.5,4.6445,4.6445,4.1992,4,4.1074,5.0107,3.5,3.5,3.5,4,4.1074,4
gsx,50,3.2,3.5,3.2,4.3,3.1,2.4,2.4,1.9,3.7,2.3,16.3,5.2,5,5.2,50,0.5,4
hc,0.01,10,10,8.3777,10,10,1,1,5,5,0.2,1,0.5,10,1,0.01,0.05,0.1
ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
